ts	phase	decision	why	evidence	result
2026-08-27T05:58:28Z	connected	Executed the complete local API-35 locale and accessibility-font matrix with bounded AndroidJUnitRunner processes	A monolithic 266-test process accumulated heap pressure; four fail-closed shards retain per-shard and aggregate evidence without dropping tests	.github/scripts/run-instrumented-tests.sh, direct-font-1_0-locale-en_US, direct-font-2_0-locale-en_US, direct-font-1_0-locale-ar_XB, direct-font-2_0-locale-ar_XB	en-US passed 266/266 at 1.0 and 266/266 at 2.0; ar-XB passed 4/4 at 1.0 and 4/4 at 2.0
2026-08-27T05:58:28Z	connected	Bound each direction assertion to the exact requested resource locale	Deriving direction only from active resources could mask an ar-XB request that remained en-US	PomodoroughRtlAccessibilityTest.kt, run-instrumented-tests.sh	expectedLocale exactly matched en-US/ar-XB target resources before Android and Compose direction and route checks; focused 4/4 in both locales
2026-08-27T05:58:28Z	trusted-clock	Rejected exhausted HLC reservations before shared-core dispatch and retained clocks beyond trusted skew	The full connected suite exposed escaping shared-core overflow and a missing five-minute retained-clock mutation guard	CoreTimerPolicyDispatchers.kt, TimerRepository.kt, TrustedTimeContractTest.kt, CoreTimerPolicyDispatchersTest.kt	focused regressions passed 1/1 each; full trusted-time class passed 27/27; positive repository class passed 27/27; debug/release unit suites passed
2026-08-27T05:58:28Z	final	Verified exact final release artifacts and real ARM64 packaged handshake	Final production changes required fresh R8 outputs, deterministic staging correlation, target-only direct bindings, native provenance, and runtime execution	APK 7f3cef0c61a65a9e474ebd0ecdbf60485a8f12fdd7923c55c9d95255dfa4436a; AAB 7e65e20b032690b380ec43d26886a26a6715c7b98bbbb79e66970aa8e32c9b5f; test APK 70f0286d52f250a55e845958d2dc62bc1a548baf7c5cf4f8d3ca2473664aaa46; mapping 3a159d7b1ccf67c523213d1204b1625ddb645a625f650818219d415e25a99db8	all eight direct/wrapper classes obfuscated target-only; target native entries 4/test 0; release smoke OK 1/1 and INSTRUMENTATION_CODE -1; broad unit/lint/APK/AAB/debug-and-release-AndroidTest gates passed
2026-08-27T05:58:28Z	final-review	Accepted the exact final Android P2.3 local candidate after independent read-only review	All post-review runner, locale, trusted-clock, accessibility, release provenance, and evidence changes required a fresh review fingerprint	complete-v1 8e76734ba3ed0307ba3f662c949f2e6b297e1cb6155feac6eab75fe1962fa725; tracked diff 64f4b2905d143428907c26dcd458e1b3f99e94dfff3a5f591e6882b42b69c4e9	PASS; no code or local-evidence blocker; API30/x86 and API36/x86_64 remain external publish-dependent witnesses
2026-08-27T20:32:04Z	P1.7-rereview	Rejected the first frozen P1.7 candidate and dispositioned every blocker/major finding	Independent review found required files untracked, stale CI SharedCore pin, no-op unreadable-vault reset, mutable unresolved deletion state, and missing Iroh account-snapshot scrub	complete-v1 6dfe6017c1fbe4d93793bbc8053e77b2f9aa57d7baddda2364b6ee23b0e536c9; delegation deleg_f2ed1bf3	FAIL correctly retained; five findings remediated rather than waived
2026-08-27T20:32:04Z	P1.7-remediation	Made recovery executable and deletion crash-safe across centralized and Iroh persistence	Unreadable credentials and prepared deletion now permit explicit reset; deletion markers block mutations; successful/recovered deletion clears replication snapshots before removing durable marker	TimerRepository.kt, TimerRepositoryTest.kt	focused repository class passed 18/18; full API35 suite passed 275/275 across 8 shards
2026-08-27T20:32:04Z	P1.7-publication	Synchronized all SharedCore pins and staged the complete intended publication set	Fresh CI and checkout must include decomposed sources, tests, Room schema 13, provenance checker, and reproducible WASM hash	workflow/properties/Kotlin pin 4c3df59fa8006c9849a661b20990ef77a4b3d42bfa82d7e2b6af953aab2fdbcd; only dist/ and release-test/ excluded	debug/release JVM, lint, assemblies, workflow/static/provenance checks, packaged release smoke, and ARM64 Iroh handshake passed
2026-08-27T21:06:25Z	P1.7-second-rereview	Rejected staged candidate after fresh independent review found one blocker and two majors	Production Iroh cleanup was route-gated and active-room-only; prepared deletion projected SignedIn and admitted lifecycle sync; unreadable credentials did not block repository/background mutations	staged-complete-v2 6c5419ff9a7b8f3d607ed6eef8efffe51f5b86e630f2dbd569e88922b9e5f895; delegation deleg_cb91405b	FAIL correctly retained; no finding waived
2026-08-27T21:06:25Z	P1.7-quarantine-and-global-scrub	Made account quarantine fail closed and Iroh cleanup route-independent across every persisted room	Deletion or unreadable-vault recovery projects SignedOut without cached user, blocks mutations/lifecycle sync, and rewrites current plus every room return/current snapshot in one Room transaction	TimerRepository.kt, IrohRoomOrchestration.kt, IrohRoomMetadataPersistence.kt, IrohDaos.kt, IrohTransactionDaos.kt	three focused RED regressions observed; focused GREEN classes passed 37/37; full API35 suite passed 276/276 across 8 shards; packaged release and ARM64 Iroh smoke passed 1/1
2026-08-27T21:44:36Z	P1.7-third-rereview	Rejected staged candidate after independent review found one blocker and one major	Prepared reset and centralized logout bypassed global Iroh scrub; foreground-before-initialize and direct route operations could bypass quarantine	Git tree 6dbeea92dd41096190d3b42753735f8eae6fd1e5; manifest 551442fd979da135c6c7e98ed1f4ddefeff68d9151db72dc1bf8c68e375c665a; delegation deleg_0510e5e8	FAIL correctly retained; findings remediated without waiver
2026-08-27T21:44:36Z	P1.7-account-transition-admission	Routed every account clear through global replication scrub and closed all lifecycle/repository/UI network admissions until recovery is resolved	Prepared reset and centralized logout scrub replication before local removal; explicit admission resolution blocks startup race; six route operations fail closed; Network tab controls use mutationsEnabled	TimerRepository.kt, TimerRepositoryTest.kt, TimerScreenScaffold.kt, NetworkSection.kt	three RED call-path/order assertions observed then GREEN; repository class passed 19/19; full API35 suite passed 277/277 across 8 shards; JVM/lint/build/static/provenance/release smoke passed
2026-08-27T23:17:50Z	P1.7-fourth-rereview	Rejected staged candidate after independent review found two blockers and one major	Live deletion left centralized runtime and generic/background network entry points open; logout scrub failure had no durable recovery state; cold-process alarm matched in-memory state before initialization	Git tree 0d7730fe26b3f8f3d29e5970cad38418a08cd020; manifest dbb6b9469db032e5398914dce999ad4e9135fda5dca7889e486788fb72cdd4d1; delegation deleg_04ef6a13	FAIL correctly retained; all findings remediated without waiver
2026-08-27T23:17:50Z	P1.7-runtime-logout-alarm-recovery	Closed runtime quarantine, persisted logout scrub obligation, unified route-independent logout, and initialized alarms before durable timer matching	Prepared deletion atomically projects SignedOut and cannot reopen streams; refresh and expiry paths honor actual quarantine; local_scrub_required survives failed scrub/restart and is explicitly resettable; receiver initializes before timer-ID match	TimerRepository.kt, TimerRepositoryTest.kt, TimerAlarmReceiver.kt, TimerAlarmDeliveryPolicyTest.kt	RED observed for live SignedIn deletion, absent logout marker, missing alarm helper, and masked pre-profile alarm regression; repository 20/20; JVM/lint/build/static/provenance GREEN; API35 278/278 across 12 shards under 180s; release smoke and ARM64 Iroh 1/1
2026-08-28T00:16:53Z	P1.7-fifth-rereview	Rejected staged candidate after independent review found two blockers	Prepared deletion/logout did not synchronously stop an active Iroh runtime and late projection reload could republish SignedIn; production global scrub decoded every snapshot before cleanup and remote_committed failures exposed no reset	Git tree 7959dfef7eedf9b46b7a218ed6d867d84b0a2f00; manifest fb54e29049e67d2fa466d7cef4e009c61887d2eeddeb6e59a4e6e955cc4a7fc7; delegation deleg_7d6315df	FAIL correctly retained; both findings remediated without waiver
2026-08-28T00:16:53Z	P1.7-iroh-runtime-and-malformed-scrub	Added synchronous Iroh account quarantine, callback-safe workspace reload, decode-tolerant global scrub, and committed-marker reset recovery	Deletion/logout/reset stop the endpoint before remote or credential transitions; quarantined reloads cannot publish; valid room logs survive scrub, malformed rooms are atomically deleted, malformed active route becomes OFFLINE, account-owned malformed settings reset parse-free; remote_committed cleanup failure remains explicitly retryable	TimerRepository.kt, IrohReplicationRepository.kt, IrohRoomOrchestration.kt, IrohRoomMetadataPersistence.kt, IrohTransactionDaos.kt	RED observed for missing quarantine call, malformed production scrub, and unreachable committed-marker reset; focused repository/Iroh 27/27 plus cleanup 3/3 GREEN; JVM/lint/build/static/provenance GREEN; API35 280/280 across 12 shards under 180s; release smoke and ARM64 Iroh 1/1
2026-08-28T00:47:24Z	P1.7-sixth-rereview	Rejected staged candidate after independent review found one blocker and one major	Cold initialization published persisted deleted-account state before classifying durable deletion markers, and sign-in lacked repository-boundary deletion/quarantine admission checks	Git tree e51e71d18418452eb9ec270e0fe727930764b0be; manifest 7841508a4dcd4395859e35e42b4078a87b401399b1adcfcf879411a284cd5e03; delegation deleg_a4b0498e	FAIL correctly retained; both findings remediated without waiver
2026-08-28T00:47:24Z	P1.7-cold-projection-and-signin-fence	Classified durable deletion before first projection publication and fenced sign-in before routing and at authentication completion	Cold marker startup installs an in-memory-only SignedOut empty-domain projection while preserving durable data for recovery; scrub failure retains that projection; sign-in rejects marker, credential-recovery, or corruption admission before route/auth side effects, rechecks after route restore and before completion, and clears credentials for stale completion	TimerRepository.kt, TimerRepositoryTest.kt	RED observed as Loading/user projection and one route side effect; strengthened all-emissions and zero-side-effect regressions GREEN; repository 22/22; JVM/lint/build/static/provenance GREEN; API35 281/281 across 12 shards under 180s; release smoke and ARM64 Iroh 1/1
2026-08-28T01:12:04Z	P1.7-seventh-rereview	Rejected staged candidate after independent review found one blocker and two majors	Warm deletion/logout retained account domain projection after durable marker; cold projection leaked persisted selected-task/completion-alert identifiers; callback publication could race initialization quarantine	Git tree 413a6fd4dcb6de034601d73189f6cd5a554c3bb5; manifest a9c13cc9d2f5da758f00e1c4672da8f675bedcab503ac7b045e7c69e94086ab4; delegation deleg_18c787de	FAIL correctly retained; all findings remediated without waiver
2026-08-28T01:12:04Z	P1.7-publication-boundary-quarantine	Made durable deletion marker sanitization an invariant of the publication boundary	Every publish under any non-null marker forces SignedOut and hides user, timer/history/tasks/known tasks, selected task, completion alert, settings, pending counts, resolution, account switch, conflict, device and network metadata; online/sync/retry are false. Warm and cold marker installation also cancels alarms while retained persistence remains available for recovery. Normal publication now uses authoritative in-memory selectedTaskId	TimerRepository.kt, TimerRepositoryTest.kt	RED reproduced populated warm deletion timer exposure, populated failed-logout timer exposure, and cold selected-task leak; all three GREEN; repository 22/22; JVM/lint/build/static/provenance GREEN; API35 281/281 across 12 shards under 180s; release smoke and ARM64 Iroh 1/1
2026-08-28T01:39:57Z	P1.7-eighth-rereview	Rejected staged candidate after independent review found one blocker and one major	Completion-alert events bypassed full quarantine publication and stale receiver delivery could repersist/post after marker cancellation; publication guard read a nonvolatile local marker from callbacks without happens-before ordering	Git tree b5f00fc58579638d23f20db0687c089601e8c94c; manifest c8a3f5cc10ce7ef5c9a0770a1dec048ef389226437833aac85e5c49b0cd69bc7; delegation deleg_e2b21a1c	FAIL correctly retained; both findings remediated without waiver
2026-08-28T01:39:57Z	P1.7-synchronized-alert-and-quarantine	Serialized alert persistence/posting with account transitions and made publication quarantine volatile	A volatile quarantine flag is set before marker persistence, rolled back if persistence fails, initialized before decoded local assignment, and cleared only after persisted plus in-memory scrub. All publications read it. Completion alert mark plus notifier post run under actionMutex, require the same current completed timer, refuse quarantine/stale cleared state, roll back failed notification, and alarm events trigger full guarded publication rather than direct AppState copying	TimerRepository.kt, TimerAlarmReceiver.kt, TimerRepositoryTest.kt	RED compile regression established missing guarded alert API; stale post-logout alert test GREEN with zero notifier calls/prefs/state; alarm policy/coordinator GREEN; repository 22/22; JVM/lint/build/static/provenance GREEN; API35 281/281 across 12 shards under 180s; release smoke and ARM64 Iroh 1/1
2026-08-28T02:08:06Z	P1.7-ninth-rereview	Rejected staged candidate after independent review found one blocker	A callback could read volatile quarantine false, pause, then commit a retained account snapshot after marker transition and sanitized publication; volatility did not linearize read-to-commit, and failed marker persistence lacked atomic repair ordering	Git tree 0558adbc3a678f73be02d717df34ee4227476908; manifest 4cb86d80a49c02ca80f0f96245e6f30e9f62df9113d9c66ac381a8250b83e0ef; delegation deleg_6bd46546	FAIL correctly retained; blocker remediated without waiver
2026-08-28T02:08:06Z	P1.7-publication-linearization	Linearized every account snapshot commit with every quarantine transition	AccountPublicationLinearizer holds one monitor through quarantine read, complete RepositoryPublication construction, and StateFlow commit. Marker transitions use the same monitor before persistence, so admitted pre-marker publications finish before marker admission and no stale normal snapshot can commit afterward. Failed marker persistence restores prior quarantine and emits a repairing snapshot at one linearization point; cold marker installs and post-scrub reopening use the same transition API	RepositoryStatePublisher.kt, TimerRepository.kt, AccountPublicationLinearizerTest.kt	RED compile established missing linearizer; deterministic paused-publication and atomic-repair tests GREEN 2/2; repository 22/22; JVM/lint/build/static/provenance GREEN; API35 281/281 across 12 shards under 180s (longest 122s); release smoke and ARM64 Iroh 1/1
2026-08-28T02:31:24Z	P1.7-tenth-rereview	Rejected staged candidate after independent review found one blocker	Cancellation could be delivered after Room durably committed a marker but before the caller installed it in memory, causing catch-all rollback to reopen and republish retained account state against durable quarantine	Git tree c310e3df1b26dbe3c4b39e3d5544d07918248c25; manifest 569538a83d7e9d8deec24f7a20242186030d9d7b52c916239ed016d5ad0f5148; delegation deleg_65a9fa81	FAIL correctly retained; blocker remediated without waiver
2026-08-28T02:31:24Z	P1.7-cancellation-safe-marker-commit	Made durable marker write plus in-memory install non-cancellable and outcome-unknown cancellation fail closed	Quarantine now publishes immediately before persistence. AccountDeletionMarkerPersistence executes DAO write and local marked-state installation inside NonCancellable. An explicit persistence CancellationException retains marked in-memory state, quarantine, and sanitized publication instead of normal rollback; only definite non-cancellation failures restore previous state through an atomic repair publication	AccountDeletionMarkerPersistence.kt, TimerRepository.kt, AccountDeletionMarkerPersistenceTest.kt	RED compile established missing primitive; deterministic cancel-after-durable-commit test plus linearizer tests GREEN 3/3; repository 22/22; JVM/lint/build/static/provenance GREEN; API35 281/281 across 12 shards under 180s; release smoke and ARM64 Iroh 1/1
2026-08-28T03:05:45Z	P1.7-eleventh-rereview	Rejected staged candidate after independent review found one blocker	A foreground callback admitted before repository quarantine could pause, resume after quarantine stopped Iroh, and restart the endpoint because orchestration had no persistent account-quarantine fence	Git tree 0190d16c405389fc8f4a4eff09c81c11ef6ac3e9; manifest 7d8b93a684961b4a1066e1fe672cb782cefafe31d1528c21f14f98abc4703a56; delegation deleg_f5d65327	FAIL correctly retained; blocker remediated without waiver
2026-08-28T03:05:45Z	P1.7-endpoint-admission-fence	Added persistent account quarantine at the Iroh endpoint start boundary	IrohRoomOrchestration sets an atomic accountQuarantined fence before background/stop, rejects foreground work while fenced, rechecks under its mutex, and checks before and after every service.start so stale and already-running start paths cannot survive quarantine. Explicit release occurs only after cleared local state is installed and before publication quarantine reopens. Repository network and mutation admission also consults the linearized publication quarantine	IrohRoomOrchestration.kt, IrohReplicationRepository.kt, TimerRepository.kt, IrohRoomOrchestrationLifecycleTest.kt, IrohRoomOrchestrationHarness.kt	RED compile established missing release API; deterministic quarantine-then-stale-foreground test proves zero starts until explicit release; lifecycle 3/3, all Iroh orchestration tests, repository 22/22, JVM/lint/build/static/provenance GREEN; API35 281/281 across 12 shards under 180s; release smoke and ARM64 Iroh 1/1
